MonthYear,Actor1CountryCode,Events ,sumNumMentions,materialConfCoop    ,verbalConfCoop      ,avgAvgTone           ,avgGoldstein         ,fightCount,expressCount
202001   ,CMR              ,1768   ,10286         ,0.21719457013574661 ,0.10237556561085973 ,-2.7965518554344797  ,-0.47290723981900451 ,234       ,34
202001   ,ARG              ,12133  ,65640         ,0.088106816121322012,0.11728344185279815 ,-1.4176939131584192  ,1.2631088766174898   ,515       ,270
202001   ,ISR              ,74226  ,300180        ,0.15595613396922911 ,0.1419448710694366  ,-2.2284747448682523  ,0.27047126343868666  ,5684      ,912
202001   ,VNM              ,9833   ,41444         ,0.13078409437608055 ,0.064680158649445749,-0.26629212575240235 ,1.2479304383199425   ,536       ,139
202001   ,VCT              ,571    ,3090          ,0.094570928196147111,0.0542907180385289  ,-0.19789028245808191 ,1.8565674255691766   ,14        ,6
202001   ,                 ,2779915,18706918      ,0.13658691003142182 ,0.13685742189959046 ,-2.1894861325559485  ,0.52745587264039084  ,170046    ,64372
202001   ,CHE              ,24800  ,122116        ,0.0652016129032258  ,0.10423387096774193 ,-1.3451012838003562  ,1.4928306451612903   ,535       ,411
202001   ,COG              ,1253   ,6283          ,0.1189146049481245  ,0.080606544293695126,-2.612483298465373   ,1.0578611332801278   ,70        ,10
202001   ,PRK              ,7307   ,36577         ,0.16148898316682633 ,0.12754892568769674 ,-2.1551931167341141  ,0.53742986177637919  ,354       ,125
202001   ,SLE              ,1030   ,4935          ,0.0941747572815534  ,0.078640776699029122,-0.82235996216640661 ,1.4047572815533982   ,22        ,15
202001   ,HRV              ,5457   ,32418         ,0.1011544804837823  ,0.11086677661718893 ,-0.50288815557798616 ,1.0799706798607296   ,242       ,121
202001   ,MNG              ,1261   ,6902          ,0.23314829500396511 ,0.042823156225218081,-1.0617712490729085  ,0.833544805709754    ,40        ,9
202001   ,NOR              ,7166   ,37112         ,0.10507954228300306 ,0.11791794585542842 ,-1.2302755182601539  ,1.1746301981579683   ,329       ,152
202001   ,TMP              ,158    ,682           ,0.088607594936708861,0.050632911392405063,-0.45216869475452037 ,1.5253164556962024   ,4         ,7
202001   ,SSD              ,1863   ,8490          ,0.1438539989264627  ,0.0998389694041868  ,-1.7242941063229522  ,1.0539452495974233   ,149       ,20
