MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
201508   ,02           ,236           ,5.4883720930232558
201507   ,14           ,93            ,7.1538461538461551
201507   ,12           ,48            ,3.4285714285714284
201503   ,18           ,104           ,6.9333333333333336
201512   ,14           ,58            ,8.2857142857142865
201910   ,06           ,40            ,8.0
201905   ,11           ,274           ,6.0888888888888886
201909   ,08           ,198           ,3.7358490566037736
201809   ,11           ,435           ,4.4845360824742277
201809   ,06           ,226           ,5.7948717948717947
201811   ,11           ,877           ,4.6157894736842096
201912   ,13           ,70            ,7.0
201808   ,16           ,5             ,2.5
201912   ,14           ,78            ,7.09090909090909
201611   ,17           ,168           ,4.0975609756097562
201608   ,16           ,84            ,3.6521739130434785
201706   ,08           ,134           ,4.7857142857142856
201706   ,02           ,229           ,5.204545454545455
201610   ,08           ,333           ,5.7413793103448274
201709   ,12           ,63            ,3.9374999999999996
201710   ,16           ,12            ,6.0
201805   ,03           ,141           ,7.4210526315789469
201506   ,02           ,312           ,5.5714285714285712
201604   ,16           ,89            ,6.3571428571428577
201509   ,18           ,50            ,3.125
202002   ,08           ,196           ,7.5384615384615383
201810   ,13           ,52            ,3.4666666666666668
201909   ,05           ,581           ,4.2101449275362315
201809   ,20           ,8             ,2.6666666666666665
201903   ,13           ,8             ,4.0
201902   ,16           ,45            ,3.7500000000000004
201708   ,08           ,167           ,4.7714285714285714
201709   ,11           ,282           ,5.2222222222222232
201608   ,15           ,99            ,7.615384615384615
201509   ,02           ,400           ,4.7058823529411766
201702   ,05           ,513           ,4.3109243697478989
201608   ,14           ,4             ,4.0
201601   ,02           ,369           ,5.4264705882352944
201708   ,14           ,20            ,6.6666666666666661
201602   ,11           ,517           ,4.9238095238095294
201806   ,15           ,48            ,5.333333333333333
201603   ,02           ,275           ,4.6610169491525415
201601   ,05           ,254           ,5.1836734693877542
201503   ,20           ,20            ,10.0
201911   ,12           ,54            ,6.0
201901   ,12           ,49            ,3.0625
201909   ,04           ,935           ,3.831967213114754
201707   ,13           ,54            ,3.8571428571428568
201608   ,04           ,765           ,4.6084337349397595
201705   ,04           ,676           ,3.8192090395480225
201801   ,14           ,49            ,3.0625
201712   ,01           ,457           ,4.5247524752475243
201711   ,18           ,5             ,1.6666666666666667
